min_n,tree_depth,learn_rate,loss_reduction,.metric,.estimator,mean,n,std_err,.config
14,11,8.385628942115653e-8,0.015364357679535205,roc_auc,binary,0.6029088938756819,5,0.00566435904031021,Preprocessor1_Model13
14,11,8.385628942115653e-8,0.015364357679535205,sens,binary,1,5,0,Preprocessor1_Model13
9,5,2.2558475058531253e-9,9.091990148029215,accuracy,binary,0.9532125737694619,5,0.0013185380871429534,Preprocessor1_Model14
9,5,2.2558475058531253e-9,9.091990148029215,kap,binary,0,5,0,Preprocessor1_Model14
9,5,2.2558475058531253e-9,9.091990148029215,roc_auc,binary,0.5,5,0,Preprocessor1_Model14
9,5,2.2558475058531253e-9,9.091990148029215,sens,binary,1,5,0,Preprocessor1_Model14
26,12,5.943868090775419e-6,5.493341221639312e-7,accuracy,binary,0.9532125737694619,5,0.0013185380871429534,Preprocessor1_Model15
26,12,5.943868090775419e-6,5.493341221639312e-7,kap,binary,0,5,0,Preprocessor1_Model15
26,12,5.943868090775419e-6,5.493341221639312e-7,roc_auc,binary,0.6028119316165731,5,0.0045853477836098645,Preprocessor1_Model15
26,12,5.943868090775419e-6,5.493341221639312e-7,sens,binary,1,5,0,Preprocessor1_Model15
10,7,0.017368532589330382,0.061878929257125785,accuracy,binary,0.9532125737694619,5,0.0013185380871429534,Preprocessor1_Model16
10,7,0.017368532589330382,0.061878929257125785,kap,binary,0,5,0,Preprocessor1_Model16
10,7,0.017368532589330382,0.061878929257125785,roc_auc,binary,0.6675216159106091,5,0.005886307207417876,Preprocessor1_Model16
10,7,0.017368532589330382,0.061878929257125785,sens,binary,1,5,0,Preprocessor1_Model16
27,8,0.003360899351672283,8.400643804674202e-5,accuracy,binary,0.9532125737694619,5,0.0013185380871429534,Preprocessor1_Model17
27,8,0.003360899351672283,8.400643804674202e-5,kap,binary,0,5,0,Preprocessor1_Model17
27,8,0.003360899351672283,8.400643804674202e-5,roc_auc,binary,0.6467946750893392,5,0.003204496159355221,Preprocessor1_Model17
27,8,0.003360899351672283,8.400643804674202e-5,sens,binary,1,5,0,Preprocessor1_Model17
16,7,5.293635108949218e-6,1.5486760992195956e-5,accuracy,binary,0.9532125737694619,5,0.0013185380871429534,Preprocessor1_Model18
16,7,5.293635108949218e-6,1.5486760992195956e-5,kap,binary,0,5,0,Preprocessor1_Model18
16,7,5.293635108949218e-6,1.5486760992195956e-5,roc_auc,binary,0.6028976871627337,5,0.005668801160324558,Preprocessor1_Model18
16,7,5.293635108949218e-6,1.5486760992195956e-5,sens,binary,1,5,0,Preprocessor1_Model18
39,15,0.09733932522645465,6.007060594266956e-9,accuracy,binary,0.9528767237472706,5,0.0013112932528739376,Preprocessor1_Model19
39,15,0.09733932522645465,6.007060594266956e-9,kap,binary,0.00285348235404983,5,0.0033820453141370247,Preprocessor1_Model19
39,15,0.09733932522645465,6.007060594266956e-9,roc_auc,binary,0.6766156463390842,5,0.00614742043409436,Preprocessor1_Model19
39,15,0.09733932522645465,6.007060594266956e-9,sens,binary,0.9995600691349446,5,2.111181475563341e-4,Preprocessor1_Model19
38,1,3.612673343289051e-6,6.361279571790403e-6,accuracy,binary,0.9532125737694619,5,0.0013185380871429534,Preprocessor1_Model20
38,1,3.612673343289051e-6,6.361279571790403e-6,kap,binary,0,5,0,Preprocessor1_Model20
38,1,3.612673343289051e-6,6.361279571790403e-6,roc_auc,binary,0.5868030500312202,5,0.0015218026674271824,Preprocessor1_Model20
38,1,3.612673343289051e-6,6.361279571790403e-6,sens,binary,1,5,0,Preprocessor1_Model20
